StudentID,Name,StudyTimeWeekly,AttendanceRate,SleepHours,Failures,ParentalSupport,Extracurriculars,Tutoring,TestPrepCourse,PreviousGrade,FinalGrade,Pass
STU1140,Donald Garcia,9.5,89.4,6.8,0,2,0,1,0,77.3,61.1,1
STU1141,Lisa Jones,13.9,99.4,7.8,0,1,0,0,0,63.4,56.7,0
STU1142,Karen Johnson,4.0,98.4,8.2,0,1,1,0,0,60.0,51.7,0
STU1143,Jennifer Perez,10.1,90.1,7.0,0,2,1,0,1,87.2,68.1,1
STU1144,David Thomas,2.8,98.4,6.1,0,1,0,0,0,61.4,47.2,0
STU1145,Jessica Smith,3.8,86.7,4.9,0,2,1,1,1,45.0,46.6,0
STU1146,William Garcia,11.1,78.0,6.2,0,1,1,1,0,67.5,55.6,0
STU1147,Jessica Williams,5.1,63.7,6.3,2,1,1,0,1,60.3,29.3,0
STU1148,Karen Brown,15.1,94.6,7.1,1,2,1,0,1,88.3,68.0,1
STU1149,Charles Williams,17.9,91.3,6.6,0,2,1,1,0,75.8,67.4,1
STU1150,Donald Jackson,20.4,96.6,7.8,1,1,1,1,0,73.4,68.0,1
STU1151,Karen Miller,6.6,92.8,6.3,0,2,0,0,0,79.4,62.1,1
STU1152,Karen Rodriguez,5.9,61.7,6.9,3,1,1,0,0,63.0,20.8,0
STU1153,James Davis,4.4,76.3,8.4,0,1,1,0,0,53.6,49.5,0
STU1154,Ashley Miller,16.6,92.3,7.4,0,2,0,0,0,88.7,72.0,1
STU1155,Sarah Davis,18.2,99.3,6.9,0,1,0,0,0,79.5,75.2,1
STU1156,James Hernandez,2.7,99.4,6.3,0,1,0,0,1,64.8,50.7,0
STU1157,Margaret Harris,23.5,89.8,6.2,3,1,1,1,0,82.1,48.2,0
STU1158,Matthew Moore,3.2,87.2,6.0,0,1,1,0,0,50.4,42.4,0
STU1159,Daniel Martinez,14.4,66.6,6.4,0,1,1,1,1,62.9,59.2,0
STU1160,John Miller,18.3,90.3,7.9,0,1,0,1,0,75.9,70.1,1
STU1161,Margaret Thomas,22.0,82.3,6.7,0,0,1,1,1,75.3,69.2,1
STU1162,Betty Thomas,18.4,98.2,5.4,0,2,1,0,1,92.4,80.3,1
STU1163,Matthew Martin,20.4,76.0,9.1,0,1,0,1,0,78.0,68.5,1
STU1164,Margaret Taylor,9.8,82.5,7.4,2,2,1,0,0,78.1,47.4,0
STU1165,Mary Smith,20.7,97.1,5.3,0,1,1,0,0,78.9,72.7,1
STU1166,Jessica Lopez,3.8,70.6,6.5,0,1,1,0,0,74.0,49.1,0
STU1167,Robert Jones,22.6,92.4,7.1,2,1,1,0,0,84.3,63.7,1
STU1168,Ashley Thompson,14.6,83.2,9.0,0,1,1,1,0,72.0,64.9,1
STU1169,William Rodriguez,20.8,93.6,5.7,0,1,0,1,0,78.2,69.8,1
STU1170,John Jackson,12.4,96.9,8.2,0,1,1,0,0,60.6,53.2,0
STU1171,Jessica Thomas,16.8,86.9,8.7,1,1,0,0,0,80.2,59.3,0
STU1172,John Martin,14.1,78.8,6.2,0,0,0,0,0,70.3,39.9,0
STU1173,Lisa Perez,18.8,63.8,6.7,2,1,0,0,1,66.3,43.1,0
STU1174,Lisa Smith,3.9,94.1,5.8,1,0,1,1,0,78.1,49.5,0
STU1175,Lisa Martin,3.4,72.1,6.8,0,0,1,0,0,46.2,36.0,0
STU1176,David Taylor,7.7,98.2,7.0,0,2,0,1,0,63.5,58.1,0
STU1177,Linda Brown,5.7,82.0,7.8,0,1,0,0,0,76.8,56.0,0
STU1178,Jennifer Davis,22.1,90.6,8.3,0,1,1,0,0,82.7,65.4,1
STU1179,Karen Williams,7.0,60.9,6.1,1,1,1,0,0,61.8,35.9,0
STU1180,Jessica Harris,24.4,85.2,4.6,3,2,1,0,0,83.0,46.6,0
STU1181,John Harris,9.7,94.9,7.0,0,1,1,0,0,71.8,54.0,0
STU1182,Mark Moore,6.2,80.1,7.4,0,2,1,1,0,46.4,46.5,0
STU1183,Ashley Wilson,20.2,78.9,7.3,0,1,0,1,0,71.4,71.0,1
STU1184,Sarah Johnson,17.2,80.6,6.6,0,2,1,0,0,92.9,74.2,1
STU1185,Nancy Williams,13.5,83.6,7.1,0,2,0,0,0,63.0,56.8,0
STU1186,Jessica Rodriguez,14.8,88.2,8.8,0,2,1,0,1,68.9,68.5,1
STU1187,Patricia Smith,18.5,85.3,7.5,0,0,0,0,1,68.8,60.3,1
STU1188,Patricia Smith,7.3,52.7,6.6,0,1,1,0,0,60.3,38.4,0
STU1189,Susan Lee,24.9,93.3,6.4,0,1,1,0,0,74.6,72.8,1
STU1190,Jessica Martin,24.4,84.8,6.8,1,1,1,1,0,85.7,65.5,1
STU1191,Lisa Davis,17.0,88.7,9.0,1,2,0,1,1,76.9,72.6,1
STU1192,Michael Williams,6.6,83.4,6.8,0,0,1,1,0,74.7,53.9,0
STU1193,Thomas Smith,17.6,95.7,7.0,0,0,0,0,1,63.5,65.4,1
STU1194,Jessica Lopez,3.7,61.9,6.4,0,1,0,1,1,55.8,48.1,0
STU1195,Anthony Jackson,2.7,98.1,8.3,0,0,0,0,1,61.8,44.9,0
STU1196,Nancy Thompson,7.9,91.5,9.4,0,1,1,0,0,73.2,57.7,0
STU1197,Nancy Wilson,12.6,76.0,7.5,0,2,1,1,0,59.6,54.2,0
STU1198,Sandra Garcia,22.0,81.7,7.1,0,1,1,0,0,88.5,65.7,1
STU1199,Jennifer Gonzalez,18.7,88.6,7.0,0,0,1,0,0,90.2,66.1,1
STU1200,Charles Perez,19.1,94.3,4.1,0,1,1,1,0,65.2,73.0,1
STU1201,Linda Johnson,11.8,89.5,7.9,0,1,1,1,1,64.6,66.9,1
STU1202,Christopher Smith,10.0,97.4,7.2,0,0,0,1,0,63.8,63.9,1
STU1203,Margaret Anderson,10.5,86.9,7.5,4,1,0,0,0,98.0,46.2,0
STU1204,Ashley Smith,24.7,87.4,6.1,0,2,1,0,0,75.4,69.1,1
STU1205,Robert Thomas,2.9,66.6,6.5,0,2,1,1,1,80.1,57.9,0
STU1206,Charles Brown,21.9,97.0,6.5,0,2,1,0,1,64.6,74.1,1
STU1207,John Taylor,15.3,92.0,8.2,2,0,1,0,0,61.8,45.8,0
STU1208,Ashley Taylor,12.1,85.5,6.5,0,2,0,0,0,61.9,52.6,0
STU1209,Barbara Wilson,18.7,78.8,9.5,0,2,0,0,0,64.3,57.0,0
STU1210,Christopher Garcia,13.2,69.6,7.5,1,2,1,0,0,65.4,62.2,1
STU1211,John Rodriguez,22.1,93.0,5.5,0,0,0,0,0,70.8,61.9,1
STU1212,Robert White,22.7,88.5,6.8,0,2,0,0,1,69.3,70.5,1
STU1213,Mark Taylor,11.7,76.0,6.2,0,2,1,0,0,82.3,62.4,1
STU1214,Susan Lee,8.4,80.1,4.4,0,2,0,0,0,81.0,55.5,0
STU1215,Donald Williams,15.6,81.2,8.9,0,0,1,0,0,83.7,65.8,1
STU1216,Margaret Smith,23.0,90.9,7.8,0,2,1,1,1,86.0,91.0,1
STU1217,Karen Lee,6.8,93.1,7.6,0,2,1,0,0,68.2,57.2,0
STU1218,Ashley Thompson,16.3,81.0,7.2,0,1,0,0,0,66.9,53.0,0
STU1219,James Williams,16.5,83.9,5.3,0,1,0,1,1,62.0,61.0,1
STU1220,Ashley Moore,18.9,97.1,6.4,0,2,1,0,0,81.7,71.0,1
STU1221,Matthew Martinez,5.0,82.6,8.0,0,1,0,0,1,50.0,52.1,0
STU1222,Donald Perez,18.5,64.6,5.7,2,1,0,0,0,60.2,42.2,0
STU1223,Betty Williams,22.9,80.0,4.0,0,1,0,1,1,91.8,78.0,1
STU1224,Linda Wilson,6.1,68.4,6.7,0,2,0,1,0,85.6,55.1,0
STU1225,Lisa Moore,7.5,96.6,6.8,0,0,0,1,0,72.8,52.8,0
STU1226,Ashley Anderson,24.3,72.5,7.2,0,1,1,1,1,91.3,81.4,1
STU1227,Nancy Thompson,6.2,99.0,7.9,0,1,0,0,0,64.5,55.1,0
STU1228,Mary Martinez,21.7,64.4,7.8,0,2,0,0,0,58.6,55.7,0
STU1229,Mary Taylor,13.3,88.6,7.3,0,1,1,0,0,78.9,61.8,1
STU1230,Linda Smith,7.7,86.5,8.4,0,2,1,0,0,73.6,57.7,0
STU1231,William Hernandez,22.0,91.6,5.2,1,2,0,1,0,79.9,67.7,1
STU1232,Nancy Thomas,12.2,86.0,7.6,0,0,0,0,1,67.4,48.3,0
STU1233,Michael Martinez,13.8,83.0,7.8,0,1,1,0,1,82.7,64.5,1
STU1234,Daniel Williams,10.3,82.5,5.5,0,0,1,1,0,56.4,45.9,0
STU1235,Sarah Harris,15.6,93.8,5.2,0,1,1,0,0,64.9,62.8,1
STU1236,Lisa Gonzalez,5.8,91.0,6.1,0,1,1,0,0,53.8,42.3,0
STU1237,Margaret Miller,11.0,82.0,6.2,0,2,0,0,1,69.8,61.0,1
STU1238,Matthew Brown,24.3,95.5,7.9,0,2,1,0,0,68.4,73.6,1
STU1239,Richard Martin,7.9,88.2,6.3,0,0,0,0,0,59.0,50.8,0
STU1240,James Davis,17.1,81.3,6.0,1,0,1,0,0,65.1,53.1,0
STU1241,Ashley Wilson,9.5,95.6,6.3,0,1,1,0,0,66.5,55.3,0
STU1242,Jessica Wilson,19.8,90.7,8.3,0,1,1,1,0,59.2,63.4,1
STU1243,Barbara Jackson,5.0,87.1,7.0,1,1,0,1,0,65.8,43.8,0
STU1244,Daniel Anderson,24.3,67.7,6.8,0,2,0,0,1,92.2,77.1,1
STU1245,Margaret Johnson,12.4,89.6,6.9,0,2,1,0,0,72.7,60.6,1
STU1246,Mary Thompson,7.4,67.6,8.6,0,1,1,1,0,82.2,62.4,1
STU1247,Donald Perez,3.7,80.4,6.1,0,2,1,1,0,78.7,60.1,1
STU1248,Charles Harris,5.9,87.5,8.6,0,1,0,0,0,74.8,58.5,0
STU1249,Betty Perez,14.0,91.7,7.3,0,2,0,0,0,73.5,69.0,1
STU1250,Betty Perez,9.8,86.0,6.8,0,1,1,1,0,68.6,65.9,1
STU1251,Thomas Martin,21.1,98.1,10.0,0,0,0,0,1,88.4,80.8,1
STU1252,Elizabeth Garcia,11.9,66.4,5.7,1,2,1,0,0,62.4,48.1,0
STU1253,Joseph Perez,7.7,71.1,6.6,0,1,1,0,0,45.0,37.3,0
STU1254,David Jones,16.2,82.6,5.5,0,2,1,0,0,78.9,69.6,1
STU1255,James Davis,18.3,83.7,8.1,0,1,1,0,1,61.2,67.7,1
STU1256,Christopher Lopez,5.8,86.0,9.0,0,0,1,0,1,53.7,53.3,0
STU1257,Barbara Jones,5.9,99.7,9.0,1,0,0,1,1,67.3,55.2,0
STU1258,Michael Brown,2.8,81.2,8.5,0,1,1,0,0,61.0,44.1,0
STU1259,Jennifer Gonzalez,18.9,64.3,6.8,0,1,0,0,1,55.5,48.3,0
STU1260,Ashley Martin,17.3,86.1,6.6,0,1,1,0,0,76.4,64.0,1
STU1261,Sandra Anderson,12.9,76.8,5.0,0,1,0,1,0,81.1,67.2,1
STU1262,John Thompson,21.4,96.8,9.4,0,1,1,0,1,65.8,71.6,1
STU1263,Linda Martin,20.5,82.2,7.6,0,2,0,0,1,91.7,82.5,1
STU1264,Jessica Gonzalez,15.5,71.7,6.4,0,1,0,0,0,52.1,50.4,0
STU1265,Sarah Martinez,22.0,69.6,8.6,0,2,1,1,0,98.0,80.9,1
STU1266,Sandra Jackson,6.7,85.4,5.8,0,1,0,0,0,60.9,52.0,0
STU1267,Thomas White,4.6,83.0,7.5,0,1,1,0,0,65.5,37.8,0
STU1268,Donald Jackson,8.2,83.0,6.8,2,0,1,0,0,45.0,21.9,0
STU1269,Margaret Thompson,3.3,75.7,7.8,1,1,0,1,1,60.9,41.2,0
STU1270,Betty Jones,14.2,90.3,6.9,2,0,1,0,1,75.3,48.0,0
STU1271,Betty Lee,23.5,96.9,5.3,3,1,0,1,1,80.0,60.3,1
STU1272,Sandra Thompson,2.9,59.4,7.1,0,1,0,1,1,52.1,43.4,0
STU1273,Donald Rodriguez,4.8,71.8,8.3,0,1,1,1,0,50.9,46.3,0
STU1274,Barbara Lee,12.4,81.3,7.0,0,2,1,0,1,83.3,71.6,1
STU1275,James Smith,23.5,95.8,7.9,1,1,0,1,0,81.2,67.6,1
STU1276,Joseph Johnson,9.3,97.4,5.7,0,1,1,0,0,88.2,60.1,1
STU1277,Ashley Perez,13.7,75.5,7.0,3,0,1,0,0,63.6,33.0,0
STU1278,Jessica Harris,3.0,98.6,6.3,0,2,1,1,0,59.6,51.4,0
STU1279,Linda Gonzalez,5.4,98.2,7.9,1,0,0,0,1,76.5,47.1,0
STU1280,Christopher Smith,24.7,91.8,7.0,0,1,1,0,1,61.7,73.4,1
STU1281,Jessica Miller,24.2,84.8,7.8,0,1,1,0,0,65.2,71.5,1
STU1282,Ashley Jones,2.1,83.5,8.3,1,1,1,0,1,75.0,56.6,0
STU1283,Nancy Thompson,23.9,84.9,7.8,0,1,1,0,0,65.4,66.5,1
STU1284,John Lopez,16.7,71.2,7.3,1,2,1,1,1,49.9,55.0,0
STU1285,Betty Thomas,22.0,74.4,5.8,0,0,0,1,0,98.0,79.3,1
STU1286,Charles Jones,12.5,75.9,7.0,0,1,1,0,0,52.3,44.9,0
STU1287,Nancy Harris,13.9,75.6,6.4,0,1,0,0,0,72.3,60.2,1
STU1288,Mark Wilson,13.2,63.9,6.6,0,0,0,1,0,68.7,53.1,0
STU1289,Margaret Jones,17.3,97.7,6.6,0,1,1,0,0,45.0,56.7,0
STU1290,Joseph Taylor,5.2,81.5,5.8,0,1,0,0,1,60.8,49.3,0
STU1291,Sandra Wilson,2.7,68.4,4.7,0,1,1,0,0,65.4,46.1,0
STU1292,Sandra Martin,9.1,56.8,6.2,0,1,1,0,1,67.7,50.9,0
STU1293,Robert Lopez,18.2,93.5,7.2,0,1,0,0,1,87.1,69.5,1
STU1294,Jessica Thomas,6.6,77.2,5.4,0,2,1,0,0,59.9,52.9,0
STU1295,Christopher Miller,17.5,86.7,7.0,0,1,1,0,0,83.2,64.3,1
STU1296,Patricia Smith,24.3,69.6,9.3,0,1,1,0,1,69.3,74.8,1
STU1297,Sandra Jones,4.2,89.4,8.2,0,1,1,0,0,47.5,43.2,0
STU1298,Daniel Martinez,17.5,86.6,9.0,0,0,0,1,1,59.0,68.3,1
STU1299,Nancy Jones,12.2,53.4,7.5,0,0,1,1,0,47.9,45.8,0
STU1300,Patricia Johnson,22.0,92.2,8.4,0,1,1,0,0,91.2,80.1,1
STU1301,Karen Martinez,6.1,95.3,6.1,3,2,0,0,1,48.6,32.5,0
STU1302,Betty Jackson,17.9,82.7,6.2,1,2,1,1,0,77.7,65.3,1
STU1303,Betty Smith,21.3,79.4,4.0,0,0,1,0,0,73.4,50.8,0
STU1304,Lisa Jones,23.7,93.6,8.4,0,2,0,1,0,79.4,80.3,1
STU1305,Richard Brown,17.7,88.2,8.8,1,2,0,0,1,91.4,69.1,1
STU1306,Jessica White,13.4,85.4,6.3,0,1,1,1,1,66.0,64.2,1
STU1307,Jessica Thompson,16.2,81.9,6.7,0,2,0,0,0,80.2,61.1,1
